TroubleTicketing_4-Feb-2026_12-43-47Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00709163","1000045","Z86004","ST","Major Remote","Classic","Z86004","Solar System","South","Najran","Nokia-PV","Rural","Ericsson","STC","","Aclowvoltage","HO - AC power supply","07-Jan-2026 14:44:18","","07-Jan-2026 14:44","","08-Jan-2026 15:08:30","System","STC","","TWL-EM-EAST JAMAL UDDIN SHAHAJ","Parent","","530304981","22-Jan-2026 15:24:03","","27 Day(s) 22:01:01","670","STC-No      ","No","-27 Day(s) 15:01:00      ","-27 Day(s) 15:01:00","Open","Standard","Assign","High","Second Escalation","","","","","","","","","Remarks added","Aclowvoltage","Aclowvoltage","Incident","Auto","27 Day(s) 22:01:01","1","","","","","18.23655","45.55851","","","","","","","","Major Remote","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709337","1000901","ZJZ663","ST(PG)","Remote","Classic","ZJZ663","Grid","South","Jizan","Huawei-PV","SubUrban","Ericsson","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 12:45","","22-Jan-2026 12:45:12","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 12:45:12","","13 Day(s) 00:00:01","312","STC-No      ","No","-12 Day(s) 17:00:00      ","-12 Day(s) 17:00:00","","Standard","Assign","Critical","Third Escalation","10","22-Jan-2026 12:45:38","30","22-Jan-2026 12:45:38","","","","","reassigned","","","Incident","Manual","13 Day(s) 00:00:01","1","","","","","16.99718","42.92073","","","","","","","","Remote","","1","","","","","Outage","22-Jan-2026 12:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709811","1000002","Udhailiyah-GOSP12","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","04-Feb-2026 10:01","","04-Feb-2026 12:33:19","RTTS","STC","","TWL_South ","Parent","","","04-Feb-2026 12:33:19","","02:44:01","3","-      ","","      ","","","Standard","Referred","Low","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","RTTS545","Tawal Test Ticket_011","Degraded","04-FEB-2026 10:01:43","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRY336","","","","","MOBILE","","","","","","","","","","P1","","","","","","","11-Sep-2024 14:32:06","",
"TT00708801","1000008","ZNJ637","ST(PG)","Metro","Classic","ZNJ637","Grid","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Anyacemphasevoltagehigh","HO - AC power supply","","","04-Dec-2025 15:45","","04-Dec-2025 15:45:33","Super Admin  - 9898976789(superadmin)","STC","","1st Escalation ","Child","","","04-Dec-2025 15:45:33","","61 Day(s) 21:00:01","1485","STC-No      ","","-61 Day(s) 20:52:00      ","","","Standard","Assign","High","Second Escalation","","","","","","","","","","","","Incident","Manual","61 Day(s) 21:00:01","1","","","","","21.50147","39.27624","","","","","","","","Metro","TT00708803","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708805","1000090","ZNJA367","ST(PG)","Metro","Classic","ZNJA367","Grid","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Air Condition 1 Fault","General","04-Dec-2025 15:53:00","","04-Dec-2025 15:53","","04-Dec-2025 15:53:28","Super Admin  - 9898976789(superadmin)","STC","","1st Escalation ","Child","","","04-Dec-2025 15:53:28","","61 Day(s) 20:52:01","1485","STC-No      ","","-61 Day(s) 20:44:00      ","","Open","Standard","Assign","High","Second Escalation","","","","","","","","","","","","Incident","Manual","61 Day(s) 20:52:01","1","","","","","21.424999","39.306671","","","","","","","","Metro","TT00708807","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709058","1006457","Udhailiyah-GOSP12","ST(PG)","Remote","Classic","ZTY997","Grid","West","Tabuk","Huawei-PV","SubUrban","Ericsson","STC","","Stc Rtts","AC Meter","","","23-May-2023 14:21","","22-Dec-2025 13:05:37","RTTS","STC","","TWL_South ","Parent","","","22-Dec-2025 13:05:37","","987 Day(s) 22:24:00","23710","-      ","","      ","","","Standard","Referred","Critical","First Escalation","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","27.61945","38.52431","","","","","","","","Remote","","1","","","RTTS3661","Tawal Test Ticket_011","Degraded","23-MAY-2023 14:21:11","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZTY997","","","","","MOBILE","","","","","","","","","","P0","","","","","","","11-Sep-2024 14:32:06","",
"TT00709128","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 1 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:54","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Dec-2025 15:53:54","","36 Day(s) 12:45:01","877","STC-No      ","No","-34 Day(s) 12:45:00      ","-34 Day(s) 12:45:00","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","36 Day(s) 12:45:01","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Outage","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709345","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 14:29","","22-Jan-2026 14:29:25","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 14:29:25","","12 Day(s) 22:16:01","310","STC-No      ","No","-12 Day(s) 15:16:00      ","-12 Day(s) 15:16:00","","Standard","Assign","Critical","Third Escalation","10","22-Jan-2026 14:29:52","30","22-Jan-2026 14:29:52","","","","","reassigned","","","Incident","Manual","12 Day(s) 22:16:01","1","","","","","17.41563","42.98187","","","","","","","","Remote","","1","","","","","Outage","22-Jan-2026 14:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709725","1000135","ZBR153","ST,ZN,MB,BR(PG)","Unknown,Metro","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","03-Feb-2026 14:44","03-Feb-2026 14:45","03-Feb-2026 14:44:53","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","03-Feb-2026 14:50:50","3rd Escalation ","Parent","","","03-Feb-2026 14:44:53","Super Admin  - 9898976789(superadmin)","00:00:59","0","STC-Yes      ","Yes","04:59:00      ","04:59:00","","Standard","Closed","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Closed","","","Incident","Manual","00:00:59","1","","","","","26.02618","42.59135","","","","value","value","verifyClosedTheRTTSt","Action Taken","Metro","","1","","","","","Outage","03-Feb-2026 14:43","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:03","","","P0","","","","","","00.02","","",
"TT00709805","1000002","Udhailiyah-GOSP12","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","04-Feb-2026 09:34","","04-Feb-2026 12:06:19","RTTS","STC","","TWL_South ","Parent","","","04-Feb-2026 12:06:19","","03:11:01","3","-      ","","      ","","","Standard","Referred","Low","Assignment","","","","","","","","","","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","","","","","Metro","","1","","","RTTS191","Tawal Test Ticket_011","Degraded","04-FEB-2026 09:34:45","FTTH","","","1","1","11","1","1001","112","Service Desk","TWL_SREriE&M","","","","ZRY336","","","","","MOBILE","","","","","","","","","","P1","","","","","","","11-Sep-2024 14:32:06","",
